DCx,X,Z,K,Theta,q
3498,17522,-1.298000,0.000353559,349.5877416,0.051517215
3503,17517,-1.298000,0.000355978,349.5757696,1.370562217
3508,17512,-1.298000,0.000357825,290.5012789,0.664692169
3513,17507,-1.298000,0.000359025,332.3065694,1.114262057
3518,17502,-1.298000,0.000359628,245.6082006,1.323696493
3523,17497,-1.298000,0.000359632,231.8417312,0.182068641
3528,17492,-1.298000,0.000359253,178.8297341,1.092127122
3533,17487,-1.298000,0.000358811,357.0745199,1.130607222
3538,17482,-1.298000,0.000358237,260.6657334,0.903720712
3543,17477,-1.298000,0.000356486,136.765333,2.75516754
3548,17472,-1.298000,0.000354317,28.64209342,1.432052027
3553,17467,-1.298000,0.000352525,263.7314289,0.541177314
3558,17462,-1.298000,0.000351611,184.9444314,0.891112918
3563,17457,-1.298000,0.000351309,188.0452072,2.487898421
3568,17452,-1.298000,0.000351715,293.1682158,1.854371979
3573,17447,-1.298000,0.00035296,300.4639802,1.990798625
3578,17442,-1.298000,0.000354298,340.8669066,1.848610235
3583,17437,-1.298000,0.00035923,175.1592451,0.783800173
3588,17432,-1.298000,0.000364274,64.88620792,2.61749615
3593,17427,-1.298000,0.000365742,64.2917247,0.016104382
3598,17422,-1.298000,0.000368719,215.1702154,1.095765876
3603,17417,-1.298000,0.000370439,350.9016618,1.775915515
3608,17412,-1.298000,0.000370389,333.9110664,2.774517178
3613,17407,-1.298000,0.000370109,199.4129474,1.374014693
3618,17402,-1.298000,0.000367179,104.0240847,1.272624673
3623,17397,-1.298000,0.000364984,81.19357102,1.964884836
3628,17392,-1.298000,0.000362538,276.0109261,2.292708925
3633,17387,-1.298000,0.000358237,78.55398536,1.138930699
3638,17382,-1.298000,0.000356443,160.1827438,1.362206901
3643,17377,-1.298000,0.000351563,126.4332405,1.931406037
3648,17372,-1.298000,0.000349774,151.5550996,2.205463579
3653,17367,-1.298000,0.000349501,290.3909481,1.901464689
3658,17362,-1.298000,0.000345438,11.01942239,2.348832816
3663,17357,-1.298000,0.000344213,83.92673284,0.103461058
3668,17352,-1.298000,0.000342124,326.8760139,0.302587017
3673,17347,-1.298000,0.000337192,302.7764504,0.125222336
3678,17342,-1.298000,0.000332304,299.3527376,0.48155527
3683,17337,-1.298000,0.000327148,55.99195089,2.505008841
3688,17332,-1.298000,0.000322663,110.0013664,1.678302247
3693,17327,-1.298000,0.000318417,265.393541,0.516065099
3698,17322,-1.298000,0.000315529,216.4424153,2.816397027
3703,17317,-1.298000,0.000314465,212.8832485,1.626477987
3708,17312,-1.298000,0.000315389,328.2498886,2.490773568
3713,17307,-1.298000,0.000317834,181.601372,0.952331311
3718,17302,-1.298000,0.000321048,285.2597064,0.698218069
3723,17297,-1.298000,0.000324078,289.6911431,2.105981437
3728,17292,-1.298000,0.000327423,234.3663426,1.559350944
3733,17287,-1.298000,0.000331412,215.6539765,0.858438875
3738,17282,-1.298000,0.000335006,107.2731031,0.08301878
3743,17277,-1.298000,0.000340321,347.6721425,0.458408707
3748,17272,-1.298000,0.00034613,332.0572086,2.351767829
3753,17267,-1.298000,0.000348946,234.1028214,1.556255669
3758,17262,-1.298000,0.000355206,63.30174818,1.250468588
3763,17257,-1.298000,0.000361845,64.38486882,0.325642671
3768,17252,-1.298000,0.000365112,117.1056512,1.894283025
3773,17247,-1.298000,0.000365418,228.0761627,0.380200704
3778,17242,-1.298000,0.000366359,102.04435,1.741930991
3783,17237,-1.298000,0.000367669,109.2216723,0.553501127
3788,17232,-1.298000,0.000368658,320.8810877,1.484733271
3793,17227,-1.298000,0.000368473,352.3854631,1.006321855
